kalimat,label
Aplikasi yang digunakan memiliki tampilan standar bagi pengguna lama di perangkat iOS,Netral
Aplikasi yang digunakan memiliki beberapa fitur bagi pengguna aplikasi,Netral
Aplikasi yang digunakan bermasalah saat dijalankan bagi tim kerja,Negatif
Aplikasi mobile ini tidak berjalan dengan baik bagi pengguna dalam penggunaan sehari-hari,Negatif
Aplikasi mobile ini berjalan sangat lambat bagi pengguna lama,Negatif
Aplikasi ini menyediakan menu utama bagi pengguna baru dalam penggunaan sehari-hari,Netral
Aplikasi mobile ini memiliki banyak bug bagi pengguna aplikasi secara umum,Negatif
Platform digital ini memiliki banyak bug bagi saya di perangkat Android,Negatif
Aplikasi yang digunakan digunakan untuk kebutuhan tertentu bagi pengguna aplikasi di perangkat Android,Netral
Platform digital ini digunakan oleh banyak pengguna bagi pengguna di perangkat iOS,Netral
Platform digital ini meningkatkan produktivitas bagi tim kerja secara umum,Positif
Platform digital ini tidak berjalan dengan baik bagi pengguna aplikasi saat digunakan secara rutin,Negatif
Aplikasi yang digunakan digunakan oleh banyak pengguna bagi saya dalam penggunaan sehari-hari,Netral
Aplikasi ini berjalan sangat lambat bagi pengguna lama saat digunakan secara rutin,Negatif
Layanan aplikasi memberikan pengalaman yang memuaskan bagi pengguna baru saat digunakan secara rutin,Positif
Aplikasi ini mudah digunakan bagi pengguna di perangkat Android,Positif
Sistem aplikasi tidak responsif bagi pengguna baru di perangkat Android,Negatif
Aplikasi yang digunakan memiliki banyak bug bagi tim kerja dalam penggunaan sehari-hari,Negatif
Platform digital ini menyediakan menu utama bagi pengguna lama dalam kondisi normal,Netral
Layanan aplikasi dapat digunakan bagi pengguna lama dalam kondisi normal,Netral
Aplikasi ini tidak responsif bagi saya pada versi terbaru,Negatif
Aplikasi yang digunakan digunakan oleh banyak pengguna bagi pengguna dalam kondisi normal,Netral
Platform digital ini bermasalah saat dijalankan bagi tim kerja pada versi terbaru,Negatif
Layanan aplikasi memiliki tampilan standar bagi pengguna aplikasi di perangkat Android,Netral
Aplikasi yang digunakan sangat berguna bagi pengguna secara umum,Positif
Aplikasi yang digunakan memiliki performa yang stabil bagi tim kerja di perangkat iOS,Positif
Aplikasi ini berjalan dengan sangat baik bagi saya,Positif
Sistem aplikasi berjalan sesuai fungsi dasar bagi tim kerja dalam kondisi normal,Netral
Platform digital ini memiliki banyak bug bagi saya di perangkat Android,Negatif
Layanan aplikasi memiliki tampilan standar bagi tim kerja saat digunakan secara rutin,Netral
Aplikasi ini dapat digunakan bagi pengguna saat digunakan secara rutin,Netral
Aplikasi ini dapat digunakan bagi saya pada versi terbaru,Netral
Layanan aplikasi tersedia di berbagai platform bagi pengguna aplikasi pada versi terbaru,Netral
Platform digital ini menyediakan menu utama bagi pengguna baru,Netral
Aplikasi yang digunakan memiliki banyak bug bagi pengguna di perangkat Android,Negatif
Platform digital ini memiliki beberapa fitur bagi tim kerja dalam penggunaan sehari-hari,Netral
Layanan aplikasi sering mengalami gangguan bagi saya saat digunakan secara rutin,Negatif
Aplikasi ini memudahkan pekerjaan bagi pengguna lama saat digunakan secara rutin,Positif
Aplikasi ini memudahkan pekerjaan bagi pengguna lama di perangkat iOS,Positif
Aplikasi ini digunakan oleh banyak pengguna bagi pengguna pada versi terbaru,Netral
Sistem aplikasi memudahkan pekerjaan bagi pengguna di perangkat Android,Positif
Aplikasi mobile ini mengecewakan pengguna bagi pengguna di perangkat Android,Negatif
Aplikasi ini memudahkan pekerjaan bagi pengguna dalam kondisi normal,Positif
Platform digital ini berfungsi dengan optimal bagi tim kerja dalam penggunaan sehari-hari,Positif
Platform digital ini berjalan dengan sangat baik bagi tim kerja di perangkat iOS,Positif
Aplikasi ini digunakan untuk kebutuhan tertentu bagi saya saat digunakan secara rutin,Netral
Sistem aplikasi sering mengalami gangguan bagi pengguna baru,Negatif
Platform digital ini tidak berjalan dengan baik bagi pengguna baru di perangkat iOS,Negatif
Aplikasi ini memiliki tampilan standar bagi pengguna lama di perangkat iOS,Netral
Platform digital ini digunakan oleh banyak pengguna bagi pengguna baru dalam kondisi normal,Netral
Platform digital ini digunakan untuk kebutuhan tertentu bagi pengguna lama saat digunakan secara rutin,Netral
Layanan aplikasi memudahkan pekerjaan bagi pengguna pada versi terbaru,Positif
Aplikasi mobile ini digunakan untuk kebutuhan tertentu bagi pengguna baru,Netral
Platform digital ini memiliki banyak bug bagi saya secara umum,Negatif
Sistem aplikasi memiliki banyak bug bagi pengguna aplikasi,Negatif
Aplikasi ini berjalan sesuai fungsi dasar bagi pengguna lama di perangkat Android,Netral
Aplikasi mobile ini digunakan untuk kebutuhan tertentu bagi pengguna pada versi terbaru,Netral
Platform digital ini sering mengalami error bagi pengguna baru secara umum,Negatif
Aplikasi ini tidak responsif bagi pengguna baru saat digunakan secara rutin,Negatif
Aplikasi mobile ini menyediakan menu utama bagi pengguna aplikasi di perangkat iOS,Netral
Layanan aplikasi digunakan untuk kebutuhan tertentu bagi pengguna aplikasi saat digunakan secara rutin,Netral
Layanan aplikasi responsif saat dijalankan bagi pengguna baru,Positif
Aplikasi mobile ini menyediakan menu utama bagi pengguna aplikasi,Netral
Aplikasi yang digunakan berjalan dengan sangat baik bagi pengguna di perangkat iOS,Positif
Aplikasi ini memiliki banyak bug bagi pengguna lama secara umum,Negatif
Layanan aplikasi tersedia untuk pengguna bagi pengguna baru di perangkat iOS,Netral
Sistem aplikasi sering mengalami error bagi pengguna lama di perangkat Android,Negatif
Aplikasi mobile ini memiliki banyak bug bagi tim kerja,Negatif
Aplikasi mobile ini berfungsi dengan optimal bagi tim kerja saat digunakan secara rutin,Positif
Layanan aplikasi berfungsi dengan optimal bagi pengguna aplikasi pada versi terbaru,Positif
Layanan aplikasi dapat digunakan bagi pengguna lama saat digunakan secara rutin,Netral
Platform digital ini sangat membantu bagi pengguna aplikasi di perangkat iOS,Positif
Aplikasi ini sering mengalami gangguan bagi pengguna baru di perangkat Android,Negatif
Platform digital ini sangat membantu bagi pengguna baru dalam kondisi normal,Positif
Sistem aplikasi memiliki beberapa fitur bagi tim kerja dalam kondisi normal,Netral
Aplikasi ini sering mengalami gangguan bagi pengguna lama di perangkat Android,Negatif
Sistem aplikasi digunakan untuk kebutuhan tertentu bagi pengguna lama pada versi terbaru,Netral
Aplikasi ini memiliki tampilan standar bagi tim kerja pada versi terbaru,Netral
Aplikasi yang digunakan memiliki beberapa fitur bagi pengguna di perangkat iOS,Netral
Aplikasi ini memberikan pengalaman yang memuaskan bagi saya saat digunakan secara rutin,Positif
Aplikasi yang digunakan berfungsi dengan optimal bagi saya dalam kondisi normal,Positif
Aplikasi mobile ini memudahkan pekerjaan bagi pengguna baru pada versi terbaru,Positif
Aplikasi mobile ini menghambat pekerjaan bagi tim kerja dalam penggunaan sehari-hari,Negatif
Aplikasi yang digunakan digunakan untuk kebutuhan tertentu bagi tim kerja saat digunakan secara rutin,Netral
Layanan aplikasi memiliki tampilan standar bagi tim kerja di perangkat iOS,Netral
Aplikasi yang digunakan meningkatkan produktivitas bagi pengguna baru di perangkat iOS,Positif
Sistem aplikasi memudahkan pekerjaan bagi saya secara umum,Positif
Aplikasi mobile ini dapat digunakan bagi pengguna lama,Netral
Aplikasi yang digunakan mudah digunakan bagi pengguna aplikasi di perangkat iOS,Positif
Layanan aplikasi memudahkan pekerjaan bagi pengguna,Positif
Layanan aplikasi memiliki tampilan standar bagi pengguna baru dalam kondisi normal,Netral
Aplikasi mobile ini memberikan pengalaman yang memuaskan bagi pengguna aplikasi dalam penggunaan sehari-hari,Positif
Layanan aplikasi memiliki tampilan standar bagi pengguna aplikasi saat digunakan secara rutin,Netral
Sistem aplikasi dapat digunakan bagi tim kerja dalam penggunaan sehari-hari,Netral
Sistem aplikasi digunakan untuk kebutuhan tertentu bagi pengguna baru di perangkat Android,Netral
Aplikasi yang digunakan menghambat pekerjaan bagi pengguna aplikasi,Negatif
Aplikasi yang digunakan mudah digunakan bagi saya saat digunakan secara rutin,Positif
Aplikasi ini memiliki banyak bug bagi tim kerja pada versi terbaru,Negatif
Aplikasi mobile ini memiliki tampilan standar bagi tim kerja saat digunakan secara rutin,Netral
Aplikasi mobile ini memberikan pengalaman yang memuaskan bagi pengguna dalam kondisi normal,Positif
Platform digital ini sangat membantu bagi saya secara umum,Positif
Layanan aplikasi mengecewakan pengguna bagi saya dalam penggunaan sehari-hari,Negatif
Aplikasi mobile ini mudah digunakan bagi pengguna aplikasi dalam kondisi normal,Positif
Aplikasi yang digunakan digunakan untuk kebutuhan tertentu bagi pengguna dalam penggunaan sehari-hari,Netral
Sistem aplikasi berfungsi dengan optimal bagi saya di perangkat iOS,Positif
Sistem aplikasi memiliki performa yang stabil bagi saya dalam kondisi normal,Positif
Platform digital ini digunakan untuk kebutuhan tertentu bagi pengguna di perangkat Android,Netral
Platform digital ini sangat berguna bagi pengguna baru di perangkat Android,Positif
Sistem aplikasi tersedia untuk pengguna bagi pengguna lama secara umum,Netral
Aplikasi mobile ini memiliki performa yang stabil bagi saya saat digunakan secara rutin,Positif
Aplikasi ini sangat membantu bagi tim kerja di perangkat iOS,Positif
Aplikasi mobile ini memiliki beberapa fitur bagi tim kerja di perangkat iOS,Netral
Aplikasi mobile ini sangat berguna bagi pengguna baru dalam penggunaan sehari-hari,Positif
Platform digital ini responsif saat dijalankan bagi pengguna lama dalam kondisi normal,Positif
Layanan aplikasi responsif saat dijalankan bagi pengguna lama di perangkat Android,Positif
Aplikasi yang digunakan memiliki performa yang stabil bagi tim kerja,Positif
Sistem aplikasi berjalan sangat lambat bagi pengguna aplikasi saat digunakan secara rutin,Negatif
Aplikasi yang digunakan tersedia untuk pengguna bagi pengguna di perangkat Android,Netral
Aplikasi yang digunakan digunakan untuk kebutuhan tertentu bagi saya secara umum,Netral
Sistem aplikasi sering mengalami error bagi pengguna secara umum,Negatif
Aplikasi ini berjalan sesuai fungsi dasar bagi pengguna aplikasi,Netral
Aplikasi ini dapat digunakan bagi pengguna baru di perangkat iOS,Netral
Aplikasi mobile ini berjalan dengan sangat baik bagi saya pada versi terbaru,Positif
Sistem aplikasi berfungsi dengan optimal bagi tim kerja di perangkat iOS,Positif
Aplikasi mobile ini dapat digunakan bagi pengguna lama dalam kondisi normal,Netral
Aplikasi ini memiliki banyak bug bagi pengguna saat digunakan secara rutin,Negatif
Layanan aplikasi bermasalah saat dijalankan bagi pengguna pada versi terbaru,Negatif
Aplikasi mobile ini tidak berjalan dengan baik bagi pengguna lama secara umum,Negatif
Aplikasi ini sering mengalami gangguan bagi pengguna aplikasi dalam kondisi normal,Negatif
Aplikasi mobile ini sering mengalami error bagi saya,Negatif
Aplikasi ini memiliki tampilan standar bagi pengguna saat digunakan secara rutin,Netral
Aplikasi ini sangat membantu bagi pengguna di perangkat Android,Positif
Platform digital ini memudahkan pekerjaan bagi pengguna lama saat digunakan secara rutin,Positif
Aplikasi ini berjalan sesuai fungsi dasar bagi pengguna di perangkat Android,Netral
Platform digital ini tidak responsif bagi pengguna aplikasi di perangkat Android,Negatif
Aplikasi mobile ini sering mengalami gangguan bagi pengguna baru pada versi terbaru,Negatif
Aplikasi mobile ini menyediakan menu utama bagi pengguna baru dalam penggunaan sehari-hari,Netral
Aplikasi mobile ini sulit untuk digunakan bagi pengguna baru dalam kondisi normal,Negatif
Aplikasi mobile ini sering mengalami gangguan bagi pengguna secara umum,Negatif
Sistem aplikasi menyediakan menu utama bagi pengguna aplikasi secara umum,Netral
Aplikasi ini sering mengalami error bagi tim kerja di perangkat iOS,Negatif
Aplikasi yang digunakan menghambat pekerjaan bagi pengguna lama secara umum,Negatif
Sistem aplikasi bermasalah saat dijalankan bagi pengguna baru secara umum,Negatif
Aplikasi yang digunakan sering mengalami error bagi pengguna baru pada versi terbaru,Negatif
Layanan aplikasi sering mengalami error bagi saya pada versi terbaru,Negatif
Aplikasi yang digunakan bermasalah saat dijalankan bagi pengguna lama di perangkat Android,Negatif
Aplikasi yang digunakan menghambat pekerjaan bagi pengguna lama pada versi terbaru,Negatif
Aplikasi mobile ini berjalan sangat lambat bagi pengguna aplikasi dalam penggunaan sehari-hari,Negatif
Aplikasi yang digunakan berjalan dengan sangat baik bagi pengguna aplikasi dalam penggunaan sehari-hari,Positif
Aplikasi yang digunakan tersedia di berbagai platform bagi saya dalam kondisi normal,Netral
Platform digital ini tersedia untuk pengguna bagi pengguna baru dalam kondisi normal,Netral
Platform digital ini meningkatkan produktivitas bagi pengguna,Positif
Sistem aplikasi responsif saat dijalankan bagi pengguna baru saat digunakan secara rutin,Positif
Aplikasi ini menyediakan layanan digital bagi tim kerja di perangkat Android,Netral
Platform digital ini memudahkan pekerjaan bagi pengguna di perangkat Android,Positif
Layanan aplikasi sangat membantu bagi tim kerja di perangkat Android,Positif
Aplikasi mobile ini menghambat pekerjaan bagi pengguna lama di perangkat iOS,Negatif
Aplikasi mobile ini memiliki banyak bug bagi pengguna baru secara umum,Negatif
Platform digital ini berjalan sangat lambat bagi tim kerja di perangkat Android,Negatif
Sistem aplikasi tidak responsif bagi saya,Negatif
Platform digital ini meningkatkan produktivitas bagi saya pada versi terbaru,Positif
Aplikasi mobile ini memiliki banyak bug bagi tim kerja,Negatif
Platform digital ini memiliki performa yang stabil bagi tim kerja di perangkat iOS,Positif
Aplikasi yang digunakan meningkatkan produktivitas bagi pengguna baru secara umum,Positif
Aplikasi ini tidak responsif bagi pengguna baru,Negatif
Sistem aplikasi sangat membantu bagi pengguna lama secara umum,Positif
Platform digital ini digunakan oleh banyak pengguna bagi pengguna baru,Netral
Layanan aplikasi digunakan untuk kebutuhan tertentu bagi pengguna di perangkat iOS,Netral
Platform digital ini berjalan sesuai fungsi dasar bagi tim kerja,Netral
Aplikasi ini sering mengalami gangguan bagi pengguna aplikasi di perangkat iOS,Negatif
Platform digital ini bermasalah saat dijalankan bagi pengguna aplikasi dalam penggunaan sehari-hari,Negatif
Platform digital ini memberikan pengalaman yang memuaskan bagi pengguna di perangkat iOS,Positif
Layanan aplikasi memiliki performa yang stabil bagi tim kerja dalam penggunaan sehari-hari,Positif
Layanan aplikasi bermasalah saat dijalankan bagi tim kerja di perangkat Android,Negatif
Aplikasi yang digunakan tidak responsif bagi pengguna lama dalam kondisi normal,Negatif
Aplikasi mobile ini digunakan untuk kebutuhan tertentu bagi saya di perangkat iOS,Netral
Aplikasi mobile ini memiliki tampilan standar bagi saya di perangkat iOS,Netral
Sistem aplikasi berjalan sesuai fungsi dasar bagi pengguna lama di perangkat iOS,Netral
Aplikasi mobile ini menyediakan menu utama bagi pengguna lama di perangkat Android,Netral
Aplikasi yang digunakan berjalan sangat lambat bagi saya dalam penggunaan sehari-hari,Negatif
Sistem aplikasi meningkatkan produktivitas bagi saya secara umum,Positif
Sistem aplikasi meningkatkan produktivitas bagi saya saat digunakan secara rutin,Positif
